group_id,subject_id
682190101,31901-2002
682190101,30000-1501
682190101,31901-2006
682190101,31901-2010
682190101,31901-2009
682190101,30000-1202
682190101,30000-2004
682190101,31901-2013
682190101,30001-1001
682190102,30000-1202
682190102,30000-1501
682190102,30001-1001
682190102,31901-2002
682190102,31901-2006
682190102,31901-2009
682190102,31901-2013
682190102,30000-2004
683190101,30000-1201
683190101,30000-1404
683190101,30001-1002
683190101,30001-1003
683190101,31901-2007
683190101,31901-2012
683190101,30000-2002
683190102,30000-1201
683190102,30000-1404
683190102,30001-1002
683190102,30001-1003
683190102,31901-2007
683190102,31901-2012
683190102,30000-2002
683190103,30000-1201
683190103,30000-1404
683190103,30001-1002
683190103,31900-0001
683190103,31900-0004
683190103,31900-1001
683190103,31900-1002
683190103,30000-2002
672190101,20001-1003
672190101,20901-2007
672190101,20901-2009
672190101,20901-2106
672190101,20901-2107
672190101,20901-8503
672190102,20000-1208
672190102,20000-1402
672190102,20001-1003
672190102,20901-2406
672190102,20901-2407
672190102,20901-8503
672190102,20901-9203
672190102,20000-2007
672190103,21900-1004
672190103,21901-2010
672190103,21901-2011
672190103,21901-2012
672190103,21901-2017
673190101,20000-1101
673190101,20000-1203
673190101,20000-1401
673190101,20000-1603
673190101,20001-1001
673190101,20001-1005
673190101,21900-1002
673190101,20000-2002
673190102,21900-1005
673190102,21901-2001
673190102,21901-2008
673190102,21901-2009
673190102,21901-2013
673190102,21906-2006
673190102,20001-1002
673190102,20001-1004
662090103,21900-1005
662090103,21901-2001
662090103,21901-2008
662090103,21901-2009
662090103,21901-2013
662090103,21906-2006
662090103,20001-1002
662090103,20001-1004
662090101,21900-1005
662090101,21901-2001
662090101,21901-2008
662090101,21901-2009
662090101,21901-2013
662090101,21906-2006
662090101,20001-1002
662090101,20001-1004
662090101,20000-2005